citation,location,lat,long,exact,collection_year,months,rep,temp,temp_units,feeding_rate,excretion_rate,fecundity,fecundity_standard_error,unit_fec,growth_rate,survival,survival_se,survival_units,food_type,food_amnt,size,size_sd,unit_size,,collected_by,Notes
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,35.4,,total offsping per indiv,,,,,A. falcatus,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,25.1,,total offsping per indiv,,,,,P.subcapitata,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,9.8,,total offsping per indiv,,,,,C. vulgaris,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,45,,total offsping per indiv,,,,,A. falcatus,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,40.8,,total offsping per indiv,,,,,P.subcapitata,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,18.4,,total offsping per indiv,,,,,C. vulgaris,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,11,,clutches,,,,,A. falcatus,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,8,,clutches,,,,,P.subcapitata,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,3.4,,clutches,,,,,C. vulgaris,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,7.5,,clutches,,,,,A. falcatus,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,5.4,,clutches,,,,,P.subcapitata,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,2.9,,clutches,,,,,C. vulgaris,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,12,,age (d) at first reproduction,,,,,A. falcatus,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,11,,age (d) at first reproduction,,,,,P.subcapitata,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,20,c,,,10.4,,age (d) at first reproduction,,,,,C. vulgaris,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,4.5,,age (d) at first reproduction,,,,,A. falcatus,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,4,,age (d) at first reproduction,,,,,P.subcapitata,,,,,,,error bars present but doesn't say what error is..
"Martinez-Jeronimo, Fernando, and Claudia Ventura-Lopez. ""Population dynamics of the tropical cladoceran Ceriodaphnia rigaudi Richard, 1894 (Crustacea: Anomopoda). Effect of food type and temperature."" Journal of environmental biology 32.4 (2011): 513.",,,,,,,10,25,c,,,4.8,,age (d) at first reproduction,,,,,C. vulgaris,,,,,,,error bars present but doesn't say what error is..
